@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,little}

@DATA
0.052901,0.062018,3.116033,0.125701,0.164645,0.323647,0.007789,0.073351,-24.651246,2.102372,-0.478122,0.520712,-0.105392,-0.070600,0.125136,0.054326,-0.033482,0.051525,-0.068363,0.094949,0.125508,0.012092,0.007094,0.059716,0.009887,0.033631,0.017345,0.051882,0.004336,0.005277,0.009291,0.050367,0.002750,0.038761,0.037990,0.039917,0.157431,0.045688,0.031212,0.327777,0.006506,0.074750,1.161658,0.624147,0.532501,0.362711,0.367769,0.314322,0.281629,0.238055,0.225477,0.215374,0.207210,0.204979,0.201521,0.012244,0.008051,0.053878,0.008449,0.019518,0.013420,0.045281,0.004493,0.006619,0.009319,0.044630,0.003540,0.017584,music
0.064858,0.092467,3.169940,0.180543,0.213072,0.500103,0.007737,0.095813,-23.754320,2.116947,0.262752,0.173817,-0.046774,0.048146,0.108522,0.020338,0.048345,0.199658,0.121502,0.184509,0.137804,0.011916,0.002729,0.066222,0.007072,0.017378,0.015710,0.092199,0.001685,0.007461,0.011151,0.040163,0.004248,0.041485,0.044435,0.074441,0.115125,0.052579,0.026909,0.412691,0.007394,0.094219,1.052838,0.480449,0.459624,0.311423,0.299970,0.278185,0.259771,0.236813,0.240119,0.226294,0.210004,0.215443,0.205982,0.010247,0.003328,0.044097,0.009892,0.012336,0.013137,0.073786,0.002758,0.010242,0.012434,0.030398,0.005093,0.018643,music
0.042857,0.064861,3.100185,0.124735,0.170412,0.291017,0.010537,0.056929,-25.294529,2.199686,-0.062364,-0.017293,-0.164791,-0.035844,-0.203046,-0.117877,0.034132,0.161773,0.152136,0.069742,0.044198,0.012477,0.002866,0.057665,0.009668,0.025973,0.006959,0.084171,0.003162,0.010436,0.010741,0.030483,0.007320,0.039315,0.028380,0.047999,0.208783,0.039599,0.028376,0.272187,0.009518,0.050177,2.109321,0.744773,0.503106,0.421204,0.334103,0.323522,0.318658,0.288685,0.270377,0.272500,0.259606,0.249525,0.206626,0.012586,0.003841,0.047230,0.010830,0.024350,0.009212,0.071127,0.005474,0.011971,0.011783,0.031291,0.009520,0.018524,music
0.039266,0.058111,3.070789,0.119264,0.174897,0.225226,0.016047,0.054889,-25.482919,1.948739,-0.271988,0.384022,0.031400,0.227270,0.028969,-0.123425,0.064646,0.066359,0.037649,0.125139,0.025587,0.008752,0.001194,0.052561,0.006465,0.025269,0.012608,0.070011,0.003168,0.013450,0.017951,0.018010,0.006342,0.038326,0.024366,0.028713,0.224504,0.035917,0.029506,0.268035,0.014282,0.046989,1.491239,0.758709,0.521072,0.420543,0.344208,0.325764,0.325861,0.347119,0.323917,0.346866,0.302178,0.257400,0.226770,0.011562,0.001717,0.032406,0.009385,0.023057,0.015609,0.055036,0.005740,0.014683,0.023097,0.018350,0.011092,0.015064,music
0.042751,0.132338,3.156846,0.144522,0.186862,0.329608,0.007450,0.056950,-23.058546,2.078836,0.166737,0.319841,0.083769,0.063917,0.008772,-0.043969,0.052441,0.100297,0.035651,0.096417,-0.047841,0.012848,0.003256,0.113040,0.010872,0.014356,0.007952,0.129257,0.001961,0.004965,0.008964,0.021832,0.002702,0.055274,0.027937,0.068653,0.154528,0.034171,0.022082,0.260700,0.008220,0.058604,1.066363,0.564768,0.365747,0.310483,0.272775,0.244696,0.240512,0.232273,0.231466,0.223722,0.220839,0.216604,0.188207,0.011218,0.004368,0.063549,0.010630,0.011367,0.008660,0.074590,0.003097,0.006172,0.009583,0.017339,0.002966,0.018598,music
0.059721,0.023288,3.176963,0.150812,0.186578,0.443240,0.007139,0.094455,-26.619681,2.745861,0.047777,0.214176,-0.014141,0.051009,0.055287,-0.010282,-0.154732,-0.106354,-0.095013,-0.078114,-0.109390,0.026311,0.001019,0.063695,0.016773,0.016149,0.005910,0.060486,0.002068,0.007076,0.022042,0.029298,0.002446,0.035435,0.021245,0.014183,0.102662,0.029323,0.029316,0.193515,0.007722,0.056985,1.293691,0.517070,0.335747,0.305790,0.282843,0.236729,0.223800,0.207766,0.195794,0.188203,0.196565,0.179898,0.173436,0.020424,0.000985,0.037310,0.014489,0.010595,0.005276,0.055150,0.002026,0.006039,0.015988,0.024885,0.002233,0.014150,music
0.037500,0.011819,3.129716,0.115558,0.172334,0.206057,0.010908,0.053522,-27.612867,2.353158,-0.288298,0.099474,-0.599919,-0.075418,0.047149,0.055892,0.023172,0.050397,0.082467,0.187058,0.007193,0.015426,0.003426,0.079644,0.006928,0.014040,0.013107,0.060493,0.001825,0.009489,0.013932,0.033039,0.004472,0.040246,0.030422,0.008336,0.122161,0.046507,0.036935,0.296428,0.011639,0.058238,1.810285,0.804711,0.527249,0.386390,0.451468,0.325131,0.254470,0.265018,0.224556,0.243555,0.275921,0.226748,0.202466,0.014166,0.005179,0.072920,0.006702,0.014119,0.012287,0.059798,0.003044,0.009755,0.010941,0.029975,0.004101,0.021329,music
0.174647,0.025150,2.889604,0.285714,0.254158,0.995015,0.014331,0.277540,-27.456077,2.386437,-0.101645,0.068442,-0.031401,0.247435,0.242573,0.198129,0.015350,0.079193,-0.066881,0.152765,-0.003946,0.008923,0.004983,0.044036,0.010441,0.032523,0.005268,0.063576,0.003773,0.004150,0.009862,0.016531,0.006069,0.029827,0.190484,0.027272,0.461888,0.167194,0.048622,0.875926,0.010606,0.317913,3.796967,1.350175,0.791474,0.523996,0.519672,0.352846,0.290333,0.278255,0.285346,0.251670,0.249206,0.211176,0.185179,0.013039,0.007528,0.040432,0.011543,0.034044,0.006213,0.064265,0.007459,0.005417,0.011619,0.016299,0.010942,0.020305,little
0.163921,0.016876,2.922933,0.276047,0.253090,0.937383,0.016454,0.287856,-28.544954,2.364613,0.150043,0.302105,-0.240351,0.320844,0.281326,0.133267,0.088880,0.068024,-0.067927,0.148378,-0.015957,0.007356,0.003229,0.038869,0.011515,0.044948,0.005545,0.064927,0.002275,0.003512,0.011118,0.016522,0.005106,0.032931,0.169643,0.018697,0.430527,0.156270,0.052594,0.797041,0.014587,0.323724,3.777731,1.366756,0.791124,0.493669,0.512895,0.427482,0.328416,0.318560,0.256909,0.228586,0.213032,0.195322,0.231349,0.011130,0.005379,0.039811,0.013254,0.041410,0.007345,0.064870,0.003090,0.004312,0.015316,0.017451,0.009354,0.021507,little
0.202150,0.015676,2.925467,0.309036,0.253806,1.034048,0.014228,0.315350,-28.879346,2.118301,0.251145,0.116542,-0.121599,0.181215,0.195265,0.160206,0.007356,0.017053,-0.060802,0.110462,-0.033947,0.012348,0.004727,0.036817,0.009820,0.026046,0.006911,0.063197,0.003005,0.004673,0.014451,0.016150,0.004960,0.029879,0.186446,0.018550,0.405487,0.157691,0.046412,0.845536,0.011491,0.299578,3.255249,1.469472,0.850330,0.431542,0.411734,0.348504,0.338235,0.266790,0.252301,0.223809,0.254265,0.215863,0.218921,0.017240,0.008698,0.039851,0.011427,0.028203,0.010347,0.054155,0.006392,0.008040,0.021308,0.017888,0.006910,0.017875,little
